country,state,state_,cases,deaths,suspects,refuses,datetime
Brazil,SP,São Paulo,107142,7532,5334,596,2020-05-30T22:33:51.795Z
Brazil,RJ,Rio de Janeiro,52420,5277,1254,148,2020-05-30T22:33:51.795Z
Brazil,CE,Ceará,46506,2956,493,89,2020-05-30T22:33:51.795Z
Brazil,AM,Amazonas,40560,2047,18,26,2020-05-30T22:33:51.795Z
Brazil,PA,Pará,37296,2900,43,23,2020-05-30T22:33:51.795Z
Brazil,PE,Pernambuco,33427,2740,89,23,2020-05-30T22:33:51.795Z
Brazil,MA,Maranhão,32620,932,125,13,2020-05-30T22:33:51.795Z
Brazil,BA,Bahia,17626,638,573,36,2020-05-30T22:33:51.795Z
Brazil,ES,Espírito Santo,13437,583,71,21,2020-05-30T22:33:51.795Z
Brazil,PB,Paraíba,12862,347,85,11,2020-05-30T22:33:51.795Z
Brazil,MG,Minas Gerais,9630,263,925,104,2020-05-30T22:33:51.795Z
Brazil,DF,Distrito Federal,9474,162,327,107,2020-05-30T22:33:51.795Z
Brazil,AP,Amapá,9313,215,15,0,2020-05-30T22:33:51.795Z
Brazil,RS,Rio Grande do Sul,9242,218,416,330,2020-05-30T22:33:51.795Z
Brazil,AL,Alagoas,9223,424,43,22,2020-05-30T22:33:51.795Z
Brazil,SC,Santa Catarina,8778,136,346,47,2020-05-30T22:33:51.795Z
Brazil,RN,Rio Grande do Norte,7402,305,108,22,2020-05-30T22:33:51.795Z
Brazil,SE,Sergipe,6805,149,15,11,2020-05-30T22:33:51.795Z
Brazil,AC,Acre,6072,142,12,0,2020-05-30T22:33:51.795Z
Brazil,PI,Piauí,4745,157,12,2,2020-05-30T22:33:51.795Z
Brazil,RO,Rondônia,4743,151,61,2,2020-05-30T22:33:51.795Z
Brazil,PR,Paraná,4473,181,400,119,2020-05-30T22:33:51.795Z
Brazil,TO,Tocantins,3981,71,13,0,2020-05-30T22:33:51.795Z
Brazil,GO,Goiás,3585,122,353,55,2020-05-30T22:33:51.795Z
Brazil,RR,Roraima,3299,110,9,0,2020-05-30T22:33:51.795Z
Brazil,MT,Mato Grosso,2361,57,45,8,2020-05-30T22:33:51.795Z
Brazil,MS,Mato Grosso do Sul,1418,19,93,26,2020-05-30T22:33:51.795Z
